model_name,country,year,parameter_count,hardware,gpu_count,training_duration,id
Timbre Transfer,Italy,2023,,,,,1
Polyffusion,"UAE, Singapore, China",2023,,,,,2
Mono-to-Stereo,Spain,2023,34500000.0,,,,3
VampNet,USA,2023,,GPU memory budget of 72GB,,,4
Sampling Transformer,"Austria, France",2023,,,,,5
Composer Assistant,USA,2023,,,,,6
Scoreperformer,"Russia, Germany",2023,,,,,7
LPC Synth,UK,2023,700000.0,Ubuntu 20.04 LTS machine with an i5-4790k processor and an NVIDIA GeForce RTX 3070 GPU,,,8
Text-to-Lyrics,Japan,2023,,,,,9
Music Translation,Israel,2022,,,,,10
DDSP Vocoder,"Taiwan, USA",2022,500000.0,NVIDIA GeForce RTX 3090 GPU,1.0,63.0,11
Phrase Length,Japan,2022,,,,,12
Loop GAN,Taiwan,2022,,NVIDIA V100 GPU,1.0,48.0,13
Lyric Rhythm,China,2022,,NVIDIA Tesla V100 SXM2 32GB GPU,1.0,11.5,14
Sketching Expression,South Korea,2022,,,,,15
Jukedrummer,"China, Taiwan",2022,25000000.0,NVIDIA GeForce GTX 1080 Ti GPU,1.0,48.0,16
Accomontage2,"China, Singapore, UAE",2022,,,,,17
DrumFill,"India, USA",2022,,,,,18
LoopGen,USA,2022,,,,,19
Musika,Austria,2022,,NVIDIA RTX 2080 Ti GPU,1.0,23.0,20
Symphony PILM,"China, UK",2022,,NVIDIA GeForce RTX 2080 Ti GPUs,8.0,,21
Spectrogram Diffusion,USA,2022,412000000.0,Google TPU v4s,64.0,356.0,22
DDX7,UK,2022,400000.0,,,,23
Meloform,China,2022,,,,,24
Sheet Images,USA,2022,,,,,25
Sentiment GAN,Brazil,2022,25000000.0,,,,26
Emotion Harmoniser,UK,2022,,,,,27
Melody Infilling,"Taiwan, China",2022,,,,,28
Domain CVAE,"Singapore, China, UAE",2022,12550000.0,NVIDIA GeForce RTX 2080 Ti GPU,1.0,15.0,29
Contextual Latent,Japan,2021,,,,,30
XLNet Infilling,Taiwan,2021,,,,,31
Hierarchical Melody,USA,2021,,,,,32
MINGUS,France,2021,,,,,33
Symbolic Diffusion,USA,2021,30000000.0,NVIDIA Tesla V100 GPU,1.0,13.0,34
DisentangleNet,USA,2021,,,,,35
SinTra,China,2021,,NVIDIA GeForce GTX Titan X,,,36
MuseBERT,China,2021,,,,,37
SurpriseNet,Taiwan,2021,,,,,38
LongTerm Music,China,2021,,,,,39
CollageNet,"China, USA",2021,,,,,40
AccoMontage,China,2021,,,,,41
Polyphonic Encoder,Finland,2020,,NVIDIA T4 Tensor Core GPU,1.0,3.25,42
Chord Jazzification,"Japan, Taiwan",2020,,,,,43
Interpretable Polyphonic,China,2020,,,,,44
Connective Fusion,Japan,2020,,,,,45
AttributesNet,"Japan, France",2020,,,,,46
BebopNet,Israel,2020,,NVIDIA Titan X GPU,,,47
Factorized Generator,USA,2020,,,,,48
Music FaderNets,Singapore,2020,,,,,49
Loop Combiner,"Taiwan, UK",2020,,,,,50
CONLON,"Italy, Netherlands",2020,,,,,51
NCAR Model,USA,2020,,,,,52
Timbre Painter,Israel,2020,5600000.0,,,,53
Jazz Transformer,Taiwan,2020,41000000.0,NVIDIA GTX 1080 Ti GPU,1.0,24.0,54
Latent Traverser,"USA, France",2019,,,,,55
Music Analogy,"China, USA",2019,,,,,56
BandNet,USA,2019,,,,,57
LakhNES,USA,2019,40000000.0,NVIDIA Titan X GPUs,4.0,20.0,58
Concept Control,Japan,2019,,,,,59
RNN Rendition,Japan,2019,,,,,60
