config,finetune,layer,context,eval_loss,eval_f1
F2_L12_1,F2,L12,1,0.0140819043541948,0.9631147540983607
F4_AVG_1,F4,AVG,1,0.013548861474393763,0.9591836734693877
F4_L12_2,F4,L12,2,0.014105942216701806,0.9572301425661914
F2_AVG_2,F2,AVG,2,0.012343286746828299,0.9554655870445343
F4_AVG_2,F4,AVG,2,0.013349692697779069,0.9549180327868853
F1_L12_2,F1,L12,2,0.01244237360272867,0.951417004048583
F2_AVG_1,F2,AVG,1,0.014516195628352256,0.951417004048583
F2_L12_2,F2,L12,2,0.014431235192912735,0.9471544715447154
F4_L12_0,F4,L12,0,0.01282270177681413,0.9454545454545454
F4_L10_2,F4,L10,2,0.012762924918206409,0.944558521560575
F1_L12_1,F1,L12,1,0.01465937261754233,0.943089430894309
F0_L10_1,F0,L10,1,0.01379343525816997,0.942857142857143
F1_AVG_1,F1,AVG,1,0.013786289168314802,0.9423868312757202
F4_L12_1,F4,L12,1,0.013297561780847091,0.9411764705882353
F2_L10_1,F2,L10,1,0.013617177280442169,0.9409368635437881
F4_L10_1,F4,L10,1,0.014024863483630017,0.9409368635437881
F1_L12_0,F1,L12,0,0.013331412871290619,0.9397590361445783
F0_L8_0,F0,L8,0,0.012757312422359569,0.939516129032258
F1_L10_1,F1,L10,1,0.013367735172828866,0.9390243902439025
F2_L12_0,F2,L12,0,0.015021790059917193,0.9378757515030058
F1_AVG_2,F1,AVG,2,0.014022687948050184,0.9373737373737373
F4_L10_0,F4,L10,0,0.012203151635023661,0.9368635437881874
F4_AVG_0,F4,AVG,0,0.012075901437330887,0.9366053169734152
F1_L8_1,F1,L8,1,0.012274735626609376,0.9363449691991786
F0_L10_2,F0,L10,2,0.013763149993287193,0.9352226720647774
F2_AVG_0,F2,AVG,0,0.012356283233707977,0.9352226720647774
F0_AVG_1,F0,AVG,1,0.014004194953789314,0.9352226720647774
F0_L8_2,F0,L8,2,0.01281486793110768,0.9349593495934959
F2_L8_0,F2,L8,0,0.012580894535252204,0.9346938775510205
F1_L10_2,F1,L10,2,0.013622225462717729,0.9333333333333333
F4_L8_0,F4,L8,0,0.0133293885543632,0.9333333333333333
F1_L8_2,F1,L8,2,0.012678843625407252,0.9330628803245437
F2_L8_2,F2,L8,2,0.013292288608176427,0.9325153374233127
F2_L8_1,F2,L8,1,0.0130229299603444,0.9325153374233127
F0_L12_2,F0,L12,2,0.014631424344972603,0.9311740890688259
F0_AVG_0,F0,AVG,0,0.013614120065338083,0.9295774647887324
F0_L8_1,F0,L8,1,0.013360610322302414,0.9292929292929293
F0_L12_1,F0,L12,1,0.014059005719092157,0.9290060851926978
F4_L8_1,F4,L8,1,0.01284382679215115,0.9284253578732107
F1_AVG_0,F1,AVG,0,0.014052968472242355,0.9281314168377823
F4_L8_2,F4,L8,2,0.012937326514576044,0.9281314168377823
F0_L10_0,F0,L10,0,0.01339111135004916,0.9268292682926829
F2_L10_2,F2,L10,2,0.014096538549185626,0.9268292682926829
F2_L10_0,F2,L10,0,0.013478556266313212,0.9252525252525253
F1_L8_0,F1,L8,0,0.013825072260159586,0.9233954451345757
F0_AVG_2,F0,AVG,2,0.01430035048785309,0.9212121212121211
F1_L10_0,F1,L10,0,0.015087085885978822,0.9168356997971602
F0_L12_0,F0,L12,0,0.01552763166061292,0.9164969450101832
